
***************************************************
* GFA 1.6.5.5065 - GNSDK 3.10.8 for Android (x86_64)
* Logging started:	2019-04-21 12:49:21.303 	

2019-04-21 12:49:21.442 	INFO     	GNSDK Playlst	0xF7C05B80	[no_source]	Playlist Initialize: Version 3.10.8  Built 2017-01-31 18:51-0800
2019-04-21 12:49:21.442 	DEBUG    	GNSDK Playlst	0xF7C05B80	[api_trace]	gnsdk_playlist_storage_location_set( /data/mediaFiles/ )
2019-04-21 12:49:21.442 	DEBUG    	GNSDK Playlst	0xF7C05B80	[api_trace]	gnsdk_playlist_storage_load_collection( mms_collection, 7FA6F2AE6220 )
2019-04-21 12:49:21.442 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[443]	Storage connection: gn_colls.gdb
2019-04-21 12:49:21.442 	ERROR    	GNSDK Playlst	0xF7C05B80	gnsdk_playlist_storage_load_collection	Error 0x90890500 (Local data store not found.)
2019-04-21 12:49:21.516 	DEBUG    	GNSDK Playlst	0xF7C05B80	[api_trace]	gnsdk_playlist_collection_create( mms_collection, 7FA6F2AE6220 )
2019-04-21 12:49:21.517 	DEBUG    	GNSDK MoodGrd	0xF7C05B80	[api_trace]	gnsdk_moodgrid_initialize( 7FA6F70A7020 )
2019-04-21 12:49:21.517 	INFO     	GNSDK MoodGrd	0xF7C05B80	[no_source]	Moodgrid Initialize: Version 3.10.8  Built 2017-01-31 18:51-0800
2019-04-21 12:49:21.527 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_user_create( WEcxA0onazwGly3OFNEBb+4QNjdxftt4jdc+2WBi5DA7utOpwdZ5HsmgwV+sedpqCjKHIJ441sl74h+nWX0TtLJT2cN2itDgH9ObSji9pzKOZ2wF0D4WcYwgauxR9w==, 603392, 7FA6F2AE6218 )
2019-04-21 12:49:21.529 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_user_register( gnsdk_userregmode_online, 603392, 269B31247F740C91905AF9275370FFF1, 1, 7FFD762CDBB8 )
2019-04-21 12:49:21.530 	INFO     	GCSLHTTP       	0xF7C05B80	[no_source]	HTTP POST: http://c603392.mgr.gcsp.cddbp.net:80/gcsp/2.0
2019-04-21 12:49:21.537 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_socket.c[1826]	getaddrinfo error: 7
2019-04-21 12:49:21.537 	DEBUG    	GCSLSocket     	0xF7C05B80	gcsl_socket.c[1609]	getaddrinfo failed for 'c603392.mgr.gcsp.cddbp.net'
2019-04-21 12:49:21.537 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_socket.c[1616]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.581 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_socket.c[982]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.581 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_http_impl.c[437]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.581 	WARNING  	GCSLHTTP       	0xF7C05B80	gcsl_http.c[1813]	Hostname Resolve: c603392.mgr.gcsp.cddbp.net -> Failed
2019-04-21 12:49:21.581 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_http.c[1822]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_http.c[1491]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_http.c[993]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	gcsp_connection.c[480]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_gcsp_transaction.c[1359]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	gcsl_gcsp_transaction.c[211]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	sdkmgr_impl_lookup_gcsp.c[904]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.653 	ERROR    	GCSLSocket     	0xF7C05B80	sdkmgr_intf_lookup.c[351]	Error 0x9004008e (The connection is not available.)
2019-04-21 12:49:21.654 	ERROR    	GNSDK Manager	0xF7C05B80	_sdkmgr_user_register	Error 0x9080008e (The connection is not available.)
2019-04-21 12:49:21.654 	ERROR    	GNSDK Manager	0xF7C05B80	gnsdk_manager_user_register	Error 0x9080008e (The connection is not available.)
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_error_info
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_user_register( gnsdk_userregmode_localonly, 603392, 269B31247F740C91905AF9275370FFF1, 1, 7FFD762CDBB8 )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_user_create( WEcxA464ABgGly3O1isMOw6iPb2Iu84pQSPVAreOAA9rGp95dHD0aa3F+Mbje3A4Z1l6EL5n1+UHdJVYC56e+DEBi2C+4OxXZ7a04lI3GZeaa225XAmLcau8NvjsdQ==, 603392, 7FA6F2AE6218 )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_string_free( 7FA6F26751B8 )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_user_option_set( 7FA6F2CD4858, gnsdk_useroption_lookup_mode, gnsdk_lookupmode_local )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[no_source]	gnsdk_manager_user_option_set( 7FA6F2CD4858, gnsdk_useroption_lookup_mode, gnsdk_lookupmode_local )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_load( gnsdk_locale_music, eng, (null), gnsdk_desc_simplified, 7FA6F2CD4858, 0, 0, 7FFD762CE108 )
2019-04-21 12:49:21.654 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[443]	Storage connection: gn_lists.gdb
2019-04-21 12:49:21.664 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[550]	SQLite: PRAGMA synchronous=NORMAL
2019-04-21 12:49:21.689 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[576]	SQLite: PRAGMA journal_mode=DELETE
2019-04-21 12:49:21.700 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[443]	Storage connection: gn_lists.gdb
2019-04-21 12:49:21.700 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[550]	SQLite: PRAGMA synchronous=NORMAL
2019-04-21 12:49:21.701 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[576]	SQLite: PRAGMA journal_mode=DELETE
2019-04-21 12:49:21.702 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: LANGUAGES  language: 1
2019-04-21 12:49:21.726 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: GENRES-US-SIMPLIFIED  language: 1
2019-04-21 12:49:21.726 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: GENRES-V1-TO-V2  language: not applicable
2019-04-21 12:49:21.727 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: GENREMAPS  language: not applicable
2019-04-21 12:49:21.727 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: GENRE_CDS_MAP  language: not applicable
2019-04-21 12:49:21.727 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ORIGINS-DEFAULT  language: 1
2019-04-21 12:49:21.727 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ERAS-DEFAULT  language: 1
2019-04-21 12:49:21.728 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ARTISTTYPES-DEFAULT  language: 1
2019-04-21 12:49:21.728 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ROLES  language: 1
2019-04-21 12:49:21.728 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: TEMPO-DEFAULT  language: 1
2019-04-21 12:49:21.729 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: MOODS-GN-DEFAULT  language: 1
2019-04-21 12:49:21.729 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: COMPOSITION-FORM-DEFAULT-V2  language: 1
2019-04-21 12:49:21.730 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_set_group_default( 7FA6F2CDC738 )
2019-04-21 12:49:21.730 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_release
2019-04-21 12:49:21.730 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_load( gnsdk_locale_playlist, eng, (null), gnsdk_desc_simplified, 7FA6F2CD4858, 0, 0, 7FFD762CE108 )
2019-04-21 12:49:21.731 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: GENRECORRELATES-DEFAULT-MICRO  language: not applicable
2019-04-21 12:49:21.732 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ORIGINSCORRELATES-DEFAULT-MICRO-V2  language: not applicable
2019-04-21 12:49:21.732 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ERASCORRELATES-DEFAULT-MICRO-V2  language: not applicable
2019-04-21 12:49:21.732 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: ARTISTTYPESCORRELATES-DEFAULT-MICRO-V2  language: not applicable
2019-04-21 12:49:21.732 	INFO     	GNSDK Manager	0xF7C05B80	sdkmgr_impl_lists_storage.c[3092]	List retrieved from local storage: MOODCORRELATES-DEFAULT-MACRO-V2  language: not applicable
2019-04-21 12:49:21.733 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_set_group_default( 7FA6F2CDE628 )
2019-04-21 12:49:21.733 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_manager_locale_release
